PM, 9/2/2024, ,4, Short, , , , 0.882, 0.839, , 1.0, 0.75
BRO, 8/26/2024, ,2, Long, , , , 1.0, 0.889, , 0.8, 0.714
BRO, 9/2/2024, ,2, Long, , , , 1.0, 0.889, , 0.8, 0.714
BRO, 8/12/2024, ,4, Long, , , , 1.0, 0.903, , 0.933, 0.866
BRO, 8/19/2024, ,4, Long, , , , 1.0, 0.903, , 0.933, 0.866
BRO, 8/26/2024, ,4, Long, , , , 1.0, 0.903, , 0.933, 0.866
BRO, 9/2/2024, ,4, Long, , , , 1.0, 0.903, , 0.933, 0.866
LMT, 8/12/2024, ,4, Long, , , , 0.974, 0.786, , 0.917, 0.772
LMT, 8/19/2024, ,4, Long, , , , 0.974, 0.786, , 0.917, 0.772
LMT, 8/26/2024, ,4, Long, , , , 0.974, 0.786, , 0.917, 0.772
LMT, 9/2/2024, ,4, Long, , , , 0.974, 0.786, , 0.917, 0.772
GD, 8/12/2024, ,4, Short, , , , 0.963, 0.919, , 0.75, 0.772
GD, 8/19/2024, ,4, Short, , , , 0.963, 0.919, , 0.75, 0.772
GD, 8/26/2024, ,4, Short, , , , 0.963, 0.919, , 0.75, 0.772
GD, 9/2/2024, ,4, Long, , , , 0.963, 0.919, , 0.895, 0.772
LH, 8/19/2024, ,3, Short, , , , 1.0, 0.828, , 0.857, 0.762
LH, 8/26/2024, ,3, Short, , , , 1.0, 0.828, , 0.857, 0.762
LH, 9/2/2024, ,3, Short, , , , 1.0, 0.828, , 0.857, 0.762
LH, 8/12/2024, ,4, Short, , , , 1.0, 0.839, , 0.833, 0.742
LH, 8/19/2024, ,4, Short, , , , 1.0, 0.839, , 0.833, 0.742
LH, 8/26/2024, ,4, Short, , , , 1.0, 0.839, , 0.833, 0.742
LH, 9/2/2024, ,4, Short, , , , 1.0, 0.839, , 0.833, 0.742
ICE, 8/19/2024, ,3, Short, , , , 1.0, 0.857, , 0.778, 0.817
ICE, 8/26/2024, ,3, Short, , , , 1.0, 0.857, , 0.778, 0.817
ICE, 9/2/2024, ,3, Short, , , , 1.0, 0.857, , 0.778, 0.817
ICE, 8/12/2024, ,4, Long, , , , 1.0, 0.8, , 0.75, 0.706
ICE, 8/19/2024, ,4, Long, , , , 1.0, 0.8, , 0.75, 0.706
ICE, 9/2/2024, ,4, Long, , , , 1.0, 0.8, , 0.75, 0.706
FI, 8/12/2024, ,4, Long, , , , 1.0, 0.941, , 0.889, 0.833
FI, 8/19/2024, ,4, Long, , , , 1.0, 0.941, , 0.889, 0.833
FI, 8/26/2024, ,4, Long, , , , 1.0, 0.941, , 0.889, 0.833
FI, 9/2/2024, ,4, Long, , , , 1.0, 0.941, , 0.889, 0.833
SYY, 8/19/2024, ,3, Long, , , , 1.0, 0.75, , 0.75, 0.739
SYY, 8/26/2024, ,3, Long, , , , 1.0, 0.75, , 0.75, 0.739
SYY, 9/2/2024, ,3, Long, , , , 1.0, 0.75, , 0.75, 0.739
SYY, 8/12/2024, ,4, Short, , , , 1.0, 0.857, , 1.0, 0.818
SYY, 8/19/2024, ,4, Short, , , , 1.0, 0.857, , 1.0, 0.818
SYY, 8/26/2024, ,4, Long, , , , 1.0, 0.857, , 0.75, 0.818
SYY, 9/2/2024, ,4, Long, , , , 1.0, 0.857, , 0.75, 0.818
PAYX, 8/12/2024, ,4, Long, , , , 1.0, 0.8, , 0.75, 0.706
CNP, 8/12/2024, ,4, Long, , , , 1.0, 0.815, , 0.846, 0.782
CNP, 8/19/2024, ,4, Long, , , , 1.0, 0.815, , 0.846, 0.782
CNP, 8/26/2024, ,4, Long, , , , 1.0, 0.815, , 0.846, 0.782
CNP, 9/2/2024, ,4, Long, , , , 1.0, 0.815, , 0.846, 0.782
HIG, 8/19/2024, ,3, Long, , , , 0.87, 0.857, , 0.75, 0.818
HIG, 8/26/2024, ,3, Long, , , , 0.87, 0.857, , 0.75, 0.818
HIG, 9/2/2024, ,3, Long, , , , 0.87, 0.857, , 0.75, 0.818
HIG, 8/12/2024, ,4, Long, , , , 1.0, 0.8, , 0.833, 0.785
HIG, 8/19/2024, ,4, Long, , , , 1.0, 0.8, , 0.833, 0.785
HIG, 8/26/2024, ,4, Long, , , , 1.0, 0.8, , 0.833, 0.785
XOM, 8/12/2024, ,4, Short, , , , 1.0, 0.696, , 0.8, 0.708
XOM, 8/19/2024, ,4, Short, , , , 1.0, 0.696, , 0.8, 0.708
XOM, 8/26/2024, ,4, Short, , , , 1.0, 0.696, , 0.8, 0.708
XOM, 9/2/2024, ,4, Short, , , , 1.0, 0.696, , 0.8, 0.708
BR, 8/12/2024, ,4, Short, , , , 1.0, 0.88, , 0.9, 0.867
BR, 8/19/2024, ,4, Short, , , , 1.0, 0.88, , 0.9, 0.867
BR, 8/26/2024, ,4, Short, , , , 1.0, 0.88, , 0.9, 0.867
BR, 9/2/2024, ,4, Short, , , , 1.0, 0.88, , 0.9, 0.867
RSG, 8/12/2024, ,4, Long, , , , 0.915, 0.968, , 0.938, 0.938
RSG, 8/19/2024, ,4, Long, , , , 0.915, 0.968, , 0.938, 0.938
RSG, 8/26/2024, ,4, Long, , , , 0.915, 0.968, , 0.938, 0.938
RSG, 9/2/2024, ,4, Long, , , , 0.915, 0.968, , 0.938, 0.938
V, 8/19/2024, ,3, Long, , , , 1.0, 0.909, , 0.833, 0.812
V, 8/26/2024, ,3, Long, , , , 1.0, 0.909, , 0.833, 0.812
V, 9/2/2024, ,3, Long, , , , 1.0, 0.909, , 0.833, 0.812
V, 8/12/2024, ,4, Long, , , , 0.972, 0.929, , 0.867, 0.9
V, 8/19/2024, ,4, Long, , , , 0.972, 0.929, , 0.867, 0.9
V, 8/26/2024, ,4, Long, , , , 0.972, 0.929, , 0.867, 0.9
V, 9/2/2024, ,4, Long, , , , 0.972, 0.929, , 0.867, 0.9
PG, 8/26/2024, ,2, Short, , , , 1.0, 0.8, , 0.833, 0.712
PG, 9/2/2024, ,2, Short, , , , 1.0, 0.8, , 0.833, 0.712
PG, 8/19/2024, ,3, Long, , , , 0.887, 0.741, , 0.833, 0.708
PG, 8/26/2024, ,3, Long, , , , 0.887, 0.741, , 0.833, 0.708
PG, 9/2/2024, ,3, Long, , , , 0.887, 0.741, , 0.833, 0.708
PG, 8/12/2024, ,4, Long, , , , 0.991, 0.828, , 0.75, 0.762
PG, 8/19/2024, ,4, Long, , , , 0.991, 0.828, , 0.75, 0.762
PG, 8/26/2024, ,4, Long, , , , 0.991, 0.828, , 0.75, 0.762
PG, 9/2/2024, ,4, Long, , , , 0.991, 0.828, , 0.75, 0.762
CL, 8/12/2024, ,4, Long, , , , 1.0, 0.903, , 0.824, 0.833
CL, 8/19/2024, ,4, Long, , , , 1.0, 0.903, , 0.824, 0.833
CL, 8/26/2024, ,4, Long, , , , 1.0, 0.903, , 0.824, 0.833
CL, 9/2/2024, ,4, Short, , , , 1.0, 0.903, , 1.0, 0.833
MMC, 8/12/2024, ,4, Long, , , , 1.0, 0.848, , 0.778, 0.717
MMC, 8/19/2024, ,4, Long, , , , 1.0, 0.848, , 0.778, 0.717
MMC, 8/26/2024, ,4, Long, , , , 1.0, 0.848, , 0.778, 0.717
MMC, 9/2/2024, ,4, Long, , , , 1.0, 0.848, , 0.778, 0.717
ROP, 8/19/2024, ,3, Short, , , , 1.0, 0.933, , 1.0, 0.889
ROP, 8/26/2024, ,3, Short, , , , 1.0, 0.933, , 1.0, 0.889
ROP, 9/2/2024, ,3, Short, , , , 1.0, 0.933, , 1.0, 0.889
ROP, 8/12/2024, ,4, Long, , , , 0.88, 0.875, , 0.824, 0.779
ROP, 8/19/2024, ,4, Long, , , , 0.88, 0.875, , 0.824, 0.779
ROP, 8/26/2024, ,4, Long, , , , 0.88, 0.875, , 0.824, 0.779
ROP, 9/2/2024, ,4, Long, , , , 0.88, 0.875, , 0.824, 0.779
MCD, 8/26/2024, ,2, Long, , , , 0.946, 0.8, , 0.833, 0.785
GD, 9/2/2024, ,3, Long, , , , 0.992, 0.919, , 0.944, 0.822
CHD, 9/2/2024, ,3, Short, , , , 1.0, 0.769, , 0.875, 0.746
CHD, 8/12/2024, ,4, Long, , , , 1.0, 0.897, , 0.867, 0.853
CHD, 8/19/2024, ,4, Long, , , , 1.0, 0.897, , 0.867, 0.853
CHD, 8/26/2024, ,4, Long, , , , 1.0, 0.897, , 0.867, 0.853
CHD, 9/2/2024, ,4, Long, , , , 1.0, 0.897, , 0.867, 0.853
DUK, 8/12/2024, ,4, Long, , , , 1.0, 0.769, , 0.769, 0.735
DUK, 8/19/2024, ,4, Long, , , , 1.0, 0.769, , 0.769, 0.735
DUK, 8/26/2024, ,4, Long, , , , 1.0, 0.769, , 0.769, 0.735
DUK, 9/2/2024, ,4, Long, , , , 1.0, 0.769, , 0.769, 0.735
CSX, 8/19/2024, ,3, Long, , , , 0.979, 0.839, , 0.867, 0.763
CSX, 9/2/2024, ,3, Long, , , , 0.979, 0.839, , 0.867, 0.763
AJG, 8/12/2024, ,4, Long, , , , 1.0, 0.909, , 0.833, 0.812
AJG, 8/19/2024, ,4, Long, , , , 1.0, 0.909, , 0.833, 0.812
AJG, 8/26/2024, ,4, Long, , , , 1.0, 0.909, , 0.833, 0.812
AJG, 9/2/2024, ,4, Long, , , , 1.0, 0.909, , 0.833, 0.812
WMB, 8/12/2024, ,4, Short, , , , 1.0, 0.848, , 1.0, 0.722
STZ, 8/12/2024, ,4, Short, , , , 0.977, 0.815, , 0.778, 0.773
STZ, 8/19/2024, ,4, Long, , , , 0.977, 0.815, , 0.786, 0.773
STZ, 8/26/2024, ,4, Long, , , , 0.977, 0.815, , 0.786, 0.773
STZ, 9/2/2024, ,4, Short, , , , 0.977, 0.815, , 0.778, 0.773
CME, 8/12/2024, ,4, Short, , , , 1.0, 0.889, , 0.889, 0.862
CME, 8/19/2024, ,4, Short, , , , 1.0, 0.889, , 0.889, 0.862
CME, 8/26/2024, ,4, Short, , , , 1.0, 0.889, , 0.889, 0.862
CME, 9/2/2024, ,4, Short, , , , 1.0, 0.889, , 0.889, 0.862
APH, 8/12/2024, ,4, Short, , , , 0.983, 0.919, , 0.75, 0.772
APH, 8/19/2024, ,4, Short, , , , 0.983, 0.919, , 0.75, 0.772
APH, 8/26/2024, ,4, Short, , , , 0.983, 0.919, , 0.75, 0.772
APH, 9/2/2024, ,4, Long, , , , 0.983, 0.919, , 0.895, 0.772
